iter	Passed	Remaining
398	144599	217804
399	144972	217459
400	145324	217081
401	145670	216693
402	146026	216321
403	146385	215955
404	146720	215552
405	147067	215167
406	147416	214786
407	147829	214497
408	148204	214153
409	148554	213773
410	148918	213413
411	149294	213070
412	149728	212810
413	150106	212469
414	150505	212158
415	150908	211852
416	151308	211541
417	151694	211211
418	152071	210867
419	152426	210493
420	152791	210133
421	153165	209785
422	153529	209424
423	153891	209060
424	154354	208832
425	154754	208518
426	155104	208137
427	155461	207766
428	155820	207397
429	156182	207033
430	156554	206680
431	156913	206311
432	157263	205931
433	157597	205529
434	157984	205198
435	158390	204890
436	158781	204563
437	159122	204170
438	159477	203797
439	159862	203461
440	160237	203112
441	160607	202757
442	160960	202381
443	161345	202044
444	161861	201872
445	162273	201567
446	162651	201221
447	163015	200858
448	163386	200503
449	163762	200153
450	164169	199842
451	164653	199624
452	165038	199284
453	165390	198905
454	165850	198655
455	166483	198612
456	167104	198551
457	167565	198297
458	167944	197947
459	168318	197590
460	168675	197215
461	169024	196829
462	169391	196464
463	169804	196152
464	170223	195848
465	170581	195472
466	170925	195081
467	171262	194683
468	171596	194280
469	171965	193918
470	172307	193525
471	172672	193158
472	173015	192768
473	173403	192426
474	173763	192054
475	174125	191684
476	174506	191335
477	174894	190993
478	175308	190679
479	175820	190471
480	176258	190183
481	176725	189924
482	177043	189506
483	177367	189093
484	177703	188695
485	178068	188327
486	178498	188027
487	178889	187687
488	179259	187324
489	179626	186958
490	179988	186586
491	180353	186218
492	180736	185868
493	181043	185440
494	181412	185077
495	181751	184682
496	182057	184255
497	182436	183901
498	182721	183453
499	183000	183000
500	183295	182563
501	183613	182150
502	183955	181760
503	184268	181344
504	184608	180952
505	184954	180568
506	185276	180160
507	185582	179737
508	185955	179379
509	186309	179003
510	186633	178598
511	186997	178232
512	187289	177797
513	187603	177383
514	187908	176961
515	188227	176554
516	188508	176111
517	188825	175702
518	189131	175284
519	189487	174911
520	189837	174533
521	190123	174097
522	190410	173662
523	190704	173235
524	191000	172810
525	191289	172378
526	191566	171937
527	191854	171506
528	192144	171077
529	192457	170670
530	192763	170256
531	193118	169885
532	193409	169460
533	193754	169081
534	194069	168677
535	194383	168272
536	194705	167874
537	195054	167500
538	195408	167130
539	195736	166738
540	196053	166337
541	196375	165940
542	196722	165565
543	197043	165168
544	197367	164774
545	197678	164369
546	198008	163981
547	198307	163567
548	198602	163150
549	198883	162722
550	199174	162303
551	199475	161893
552	199800	161502
553	200093	161085
554	200389	160672
555	200738	160302
