iter	MultiClass
0	1.081032336
1	1.068238277
2	1.054078368
3	1.039624122
4	1.023061147
5	1.01284861
6	1.002657438
7	0.9910460971
8	0.9758184999
9	0.965029964
10	0.9542102607
11	0.9440051724
12	0.9301665508
13	0.9224267557
14	0.9114425977
15	0.9046223687
16	0.8967415753
17	0.8915184584
18	0.8844805401
19	0.8786392083
20	0.8731902686
21	0.8655926369
22	0.8572297469
23	0.8505070702
24	0.8440265892
25	0.8378026742
26	0.8318428555
27	0.8265406506
28	0.8218189991
29	0.8154851247
30	0.808156851
31	0.8015359233
32	0.795770823
33	0.7913175163
34	0.7856299042
35	0.7814868016
36	0.7788296852
37	0.7725277064
38	0.7654837302
39	0.7605399846
40	0.7550923366
41	0.7511422447
42	0.7461372565
43	0.7419773988
44	0.7373002924
45	0.7313509579
46	0.7273848453
47	0.7228255532
48	0.7188424857
49	0.713444582
50	0.7110443376
51	0.7072643732
52	0.7029777127
53	0.6985213705
54	0.695856099
55	0.6911575394
56	0.6884254914
57	0.6856480675
58	0.6822092902
59	0.6765131935
60	0.673839105
61	0.6692726533
62	0.6677388449
63	0.6638806415
64	0.6618447828
65	0.6585147586
66	0.6559304731
67	0.6535876985
68	0.650603701
69	0.6468626114
70	0.6416367532
71	0.6379343401
72	0.635821406
73	0.6312409639
74	0.6285840584
75	0.6245420752
76	0.6211958909
77	0.6186590013
78	0.6143391468
79	0.6103451258
80	0.6071919618
81	0.6033445505
82	0.6001095188
83	0.5972369219
84	0.5941810685
85	0.5917838871
86	0.588504431
87	0.5857240662
88	0.5812208966
89	0.5778553071
90	0.5756751134
91	0.571445512
92	0.5678520608
93	0.5628475858
94	0.5608038454
95	0.5575798529
96	0.5538112363
97	0.550878833
98	0.546709319
99	0.5437327347
100	0.5408819258
101	0.5371883735
102	0.5344473898
103	0.531101589
104	0.5269553428
105	0.5225878992
106	0.5185656064
107	0.5149031286
108	0.51270283
109	0.510175811
110	0.508092929
111	0.5048591776
112	0.5017566839
113	0.4985597707
114	0.4945995664
115	0.4917840003
116	0.4885652567
117	0.4853205077
118	0.4827171453
119	0.4801710873
120	0.4770376266
121	0.4750860164
122	0.4718571663
123	0.46981711
124	0.4669697518
125	0.4636471346
126	0.4610207291
127	0.4593673265
128	0.4564873808
129	0.4548302622
130	0.4525874664
131	0.4498053684
132	0.4479743927
133	0.4460837051
134	0.4442832171
135	0.4421506076
136	0.4401136519
137	0.4385849198
138	0.4366254145
139	0.4348729449
140	0.4334817582
141	0.4312324137
142	0.4301490948
143	0.4282415623
144	0.4265100853
145	0.4246728667
146	0.4234789676
147	0.4215127162
148	0.420577587
149	0.4185572461
150	0.4172924004
151	0.4158706457
152	0.4143922329
153	0.4130579989
154	0.4112707748
155	0.4098064176
156	0.4082161177
157	0.4067757463
158	0.4051521573
159	0.4038967439
160	0.4022190421
161	0.4000257803
162	0.3986114961
163	0.3965545035
164	0.3953405159
165	0.393475991
166	0.3920941367
167	0.3908920053
168	0.3902529091
169	0.3887047544
170	0.3868071464
171	0.385195296
172	0.3837648195
173	0.3826242526
174	0.38175319
175	0.3804395874
176	0.3792207117
177	0.3783113406
178	0.3770243436
179	0.3760139073
180	0.374781629
181	0.3733451219
182	0.3726297677
183	0.3715836815
184	0.3703854023
185	0.3693719263
186	0.3685575391
187	0.3674266359
188	0.3654728448
189	0.3649792599
190	0.3636105868
191	0.3624188195
192	0.3620043993
193	0.3613209013
194	0.3607575477
195	0.3597313856
196	0.3588145972
197	0.3576544363
198	0.3571749999
199	0.3562794848
200	0.355328928
201	0.3545750705
202	0.3541236461
203	0.3535209374
204	0.3528800098
205	0.3518453922
206	0.3510814338
207	0.3503283531
208	0.3487329961
209	0.3482875
210	0.3474873583
211	0.3465424279
212	0.3455652949
213	0.344980992
214	0.3439139658
215	0.3434388203
216	0.3426796235
217	0.3417167497
218	0.3413772799
219	0.340876003
220	0.3402727493
221	0.339729177
222	0.3389270518
223	0.3383428775
224	0.33774153
225	0.3371723813
226	0.3364662282
227	0.3354395523
228	0.3350314429
229	0.3343937238
230	0.3339318225
231	0.3334928676
232	0.3332411131
233	0.3328825848
234	0.3323454243
235	0.3316238483
236	0.3314325433
237	0.3309249584
238	0.3307094334
239	0.3299926856
240	0.3294216827
241	0.3286594219
242	0.3281853264
243	0.3279833292
244	0.3276100092
245	0.3268761214
246	0.3263896154
247	0.3258208007
248	0.3253602536
249	0.3244950394
250	0.3243901038
251	0.3237691786
252	0.3233812322
253	0.3230707832
254	0.322944751
255	0.3225378129
256	0.322438392
257	0.322027227
258	0.3217873237
259	0.3214105242
260	0.3208874897
261	0.320363062
262	0.3199221275
263	0.3196282672
264	0.3191647799
265	0.3188505023
266	0.3184965039
267	0.3182162057
268	0.3179206886
269	0.317216288
270	0.3166499296
271	0.3160736042
272	0.3153999258
273	0.3150946174
274	0.3142965311
275	0.3139480087
276	0.3136661666
277	0.3133323742
278	0.3129881486
279	0.3127548714
280	0.3124807599
281	0.3122452961
282	0.3119772389
283	0.3115298835
284	0.311264781
285	0.3111483077
286	0.3107862335
287	0.3106087977
288	0.3104908077
289	0.3102003048
290	0.3098807269
291	0.3095783214
292	0.3093640046
293	0.3090374621
294	0.3085492107
295	0.3085040177
296	0.3082554979
297	0.3080182807
298	0.3075630536
299	0.3071936128
300	0.3069519707
301	0.3065525942
302	0.3063715563
303	0.3062179736
304	0.3058847316
305	0.3056274847
306	0.3054810586
307	0.3052587833
308	0.3050543064
309	0.30466886
310	0.3045058689
311	0.3043408059
312	0.3041187502
313	0.3039445637
314	0.3037961199
315	0.3037620413
316	0.303519067
317	0.3032510712
318	0.3029907586
319	0.3027769825
320	0.3024967901
321	0.3024574357
322	0.3022269678
323	0.3018895757
324	0.3017351281
325	0.301702734
326	0.301406821
327	0.3012269469
328	0.3010017586
329	0.3009140432
330	0.3006003945
